"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Z8,Z7,Z6,Z5";"DIOAD1068W53L380D172";4;"BZX79C10";;;
2;"P1";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Screw_Terminal_01x02";;;
3;"J1";"PinSocket_2x16_P2.54mm_Vertical";1;"Conn_02x16_Odd_Even";;;
4;"R2,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";2;"22k";;;
5;"Z4,Z3,Z2,Z1";"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal";4;"Screw_Terminal_01x03";;;
6;"U1";"17861650001";1;"178.6165.0001";;;
7;"R6,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";2;"10k";;;
8;"R26,R21,R16,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";4;"10k";;;
9;"R25,R20,R15,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";4;"100k";;;
10;"R24,R19,R18,R14,R17,R23,R22,R13,R12,R8,R9,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";12;"1M";;;
11;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";1;"47k";;;
12;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";1;"120k";;;
13;"Q13,Q10,Q7,Q4,Q1";"TO254P469X1042X1967-3P";5;"IRF9Z34NPBF";;;
14;"Q12,Q9,Q8,Q11,Q6,Q5,Q2,Q3";"TO-92_Inline";8;"2N7000";;;
15;"L1";"L_Axial_L6.6mm_D2.7mm_P10.16mm_Horizontal_Vishay_IM-2";1;"150uH";;;
16;"J3";"PinSocket_1x19_P2.54mm_Vertical";1;"Conn_01x19";;;
17;"J2";"PinSocket_2x19_P2.54mm_Vertical";1;"Conn_02x19_Odd_Even";;;
18;"IC1";"DIP794W53P254L959H508Q8N";1;"OPA2340PA";;;
19;"IC2";"SOIC127P600X175-8N";1;"LM2597MX-5.0_NOPB";;;
20;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N5817";;;
21;"D9,D7,D5,D3";"D_DO-201_P15.24mm_Horizontal";4;"STPS3150RL";;;
22;"C4,C3";"CP_Radial_D8.0mm_P3.50mm";2;"CP1";;;
23;"C2,C1";"C_Disc_D4.7mm_W2.5mm_P5.00mm";2;"0.1uF";;;
